GA,Date,URL,Volume Title,Lecture Title,Translator Name,Original Language
266,08/02/1904,http://daniel-zahavi.co.il/%d7%a9%d7%99%d7%a2%d7%95%d7%a8-%d7%90%d7%96%d7%95%d7%98%d7%a8%d7%99-01/,שיעור אזוטרי,שיעורים אזוטריים 1904-1909,יוחנן מרגלית,אנגלית
None,08/02/1904,http://daniel-zahavi.co.il/%d7%a9%d7%99%d7%a2%d7%95%d7%a8%d7%99%d7%9d-%d7%90%d7%96%d7%95%d7%98%d7%a8%d7%99%d7%99%d7%9d-01-2/,שיעורים אזוטריים,התנאים המוקדמים הבסיסיים לרכישה בלתי תלויה של ידע עליון,יוחנן מרגלית,אנגלית
266,15/02/1904,http://daniel-zahavi.co.il/elementor-8044/,שיעורים אזוטריים,התנאים המוקדמים הבסיסיים לרכישה בלתי תלויה של ידע עליון,יוחנן מרגלית,אנגלית
266,21/02/1904,http://daniel-zahavi.co.il/elementor-8068/,שיעורים אזוטריים,התנאים המוקדמים הבסיסיים לרכישה בלתי תלויה של ידע עליון,יוחנן מרגלית,אנגלית
266,14/03/1904,http://daniel-zahavi.co.il/%d7%a9%d7%99%d7%a2%d7%95%d7%a8%d7%99%d7%9d-%d7%90%d7%96%d7%95%d7%98%d7%a8%d7%99%d7%99%d7%9d-04-2/,שיעורים אזוטריים,None,יוחנן מרגלית,אנגלית
266,09/07/1904,http://daniel-zahavi.co.il/%d7%a9%d7%99%d7%a2%d7%95%d7%a8%d7%99%d7%9d-%d7%90%d7%96%d7%95%d7%98%d7%a8%d7%99%d7%99%d7%9d-05/,שיעורים אזוטריים,הערות סטנוגרפיות על ידי פרנץ סיילר,יוחנן מרגלית,אנגלית
266,11/11/1904,http://daniel-zahavi.co.il/%d7%94%d7%9e%d7%a0%d7%99%d7%9b%d7%90%d7%99%d7%96%d7%9d/,המניכאיזם,None,עלי אלון,אנגלית
93,15/12/1904,http://daniel-zahavi.co.il/%d7%94%d7%aa%d7%a4%d7%aa%d7%97%d7%95%d7%aa%d7%95-%d7%94%d7%a4%d7%a0%d7%99%d7%9e%d7%99%d7%aa-%d7%a9%d7%9c-%d7%94%d7%90%d7%93%d7%9d/,התפתחותו הפנימית של האדם,None,עלי אלון,אנגלית
53,16/03/1905,http://daniel-zahavi.co.il/%d7%a0%d7%aa%d7%99%d7%91-%d7%94%d7%99%d7%93%d7%a2-%d7%95%d7%a9%d7%9c%d7%91%d7%99%d7%95/,נתיב הידע ושלביו,נתיב הידע הרוחי הרוזנקרויצרי,עלי אלון,אנגלית
324a,26/09/1905,http://daniel-zahavi.co.il/%d7%99%d7%a1%d7%95%d7%93%d7%95%d7%aa-%d7%94%d7%90%d7%96%d7%95%d7%98%d7%a8%d7%99%d7%95%d7%aa-01/,יסודות האזוטריות,None,מוטי גולדנר,אנגלית
