Date,GA,GA Title,Lecture Title,URL,Location
01/01/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,Introduction to Lucifer-Gnosis,https://rsarchive.org/Articles/GA034/English/SOL2024/05_Introduction_to_Lucifer-Gnosis.html,
01/01/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,Herder and Theosophy,https://rsarchive.org/Articles/GA034/English/SOL2024/51_Herder_and_Theosophy.html,
01/01/1904,90a,Self-Knowledge and God-Knowledge I,Pitris,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040101p01.html,Berlin
04/01/1904,52,Spiritual Teachings Concerning the Soul,Theosophy and Christianity,https://rsarchive.org/Lectures/GA052/English/eLib2013/19040104p01.html,Berlin
05/01/1904,90a,Self-Knowledge and God-Knowledge I,Description of the Rounds,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040105p01.html,Berlin
12/01/1904,90a,Self-Knowledge and God-Knowledge I,The Formation of the Aura I,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040112p01.html,Berlin
19/01/1904,90a,Self-Knowledge and God-Knowledge I,The Formation of the Aura II,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040119p01.html,Berlin
26/01/1904,90a,Self-Knowledge and God-Knowledge I,The Formation of the Cosmos According to Annie Besant's “Ancient Wisdom”,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040126p01.html,Berlin
28/01/1904,88,On the Astral World and Devachan,The World of the Spirit or Devachan I,https://rsarchive.org/Lectures/GA088/English/SOL2022/19040128p01.html,Berlin
31/01/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,On Kant's Epistemology,https://rsarchive.org/Articles/GA034/English/SOL2024/25_On_Kant's_Epistemology.html,
31/01/1904,34,From the Contents of Esoteric Classes III: 1913–1914,Posthumous Papers of Paul Asmus,https://rsarchive.org/Articles/GA034/English/SOL2024/63_Posthumous_Papers_of_Paul_Asmus.html,
01/02/1904,34,Essays on Anthroposophy from Lucifer and Lucifer-Gnosis 1903-1908,Theosophy and Modern Science,https://rsarchive.org/Articles/GA034/English/SOL2024/52_Theosophy_and_Modern_Science.html,
01/02/1904,52,Spiritual Teachings Concerning the Soul,Theosophy and Spiritualism,https://rsarchive.org/Lectures/GA052/English/eLib2013/19040201p01.html,Berlin
02/02/1904,90a,Self-Knowledge and God-Knowledge I,The Second Logos,https://rsarchive.org/Lectures/GA090a/English/SOL2024/19040202p01.html,Berlin
